Date | 5/22/2019 2:24:40 PM   Msg | [INFO] All ultra beasts have been selected...   
Date | 5/22/2019 2:24:40 PM   Msg | [INFO] All ultra beasts have been selected...   
Date | 5/22/2019 2:24:40 PM   Msg | [INFO] All alolan forms have been deselected...   
Date | 5/22/2019 2:24:39 PM   Msg | [INFO] All alolan forms have been deselected...   
Date | 5/22/2019 2:24:39 PM   Msg | [INFO] All alolan forms have been deselected...   
Date | 5/22/2019 2:24:39 PM   Msg | [INFO] All alolan forms have been deselected...   
Date | 5/22/2019 2:24:39 PM   Msg | [INFO] All alolan forms have been deselected...   
Date | 5/22/2019 2:23:38 PM   Msg | [INFO] All alolan forms have been deselected...   
Date | 5/22/2019 2:23:33 PM   Msg | [INFO] All alolan forms have been deselected...   
